,Series_Title,Released_Year,Certificate,Overview,Director,Star1
158,Hauru no ugoku shiro,2004,U,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,Chieko Baishô
159,A Beautiful Mind,2001,UA,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,Russell Crowe
160,Hera Pheri,2000,U,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Priyadarshan,Akshay Kumar
161,"Lock, Stock and Two Smoking Barrels",1998,A,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Guy Ritchie,Jason Flemyng
162,L.A. Confidential,1997,A,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,Kevin Spacey
163,Eskiya,1996,,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,Sener Sen
164,Heat,1995,A,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,Al Pacino
165,Casino,1995,A,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,Robert De Niro
166,Andaz Apna Apna,1994,U,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,Aamir Khan
167,Unforgiven,1992,A,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,Clint Eastwood
168,Indiana Jones and the Last Crusade,1989,U,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Steven Spielberg,Harrison Ford
169,Dom za vesanje,1988,R,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,Davor Dujmovic
170,Tonari no Totoro,1988,U,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,Hitoshi Takagi
171,Die Hard,1988,A,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,Bruce Willis
172,Ran,1985,U,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,Tatsuya Nakadai
173,Raging Bull,1980,A,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,Robert De Niro
174,Stalker,1979,U,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,Alisa Freyndlikh
175,Höstsonaten,1978,U,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Ingmar Bergman,Ingrid Bergman
176,The Message,1976,PG,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,Moustapha Akkad,Anthony Quinn
177,Sholay,1975,U,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,Sanjeev Kumar
178,Monty Python and the Holy Grail,1975,PG,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,Terry Jones
179,The Great Escape,1963,U,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,Steve McQueen
180,To Kill a Mockingbird,1962,U,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,Gregory Peck
181,Yôjinbô,1961,,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Toshirô Mifune
182,Judgment at Nuremberg,1961,A,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,Spencer Tracy
183,Some Like It Hot,1959,U,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,Marilyn Monroe
184,Smultronstället,1957,U,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,Victor Sjöström
185,Det sjunde inseglet,1957,A,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,Max von Sydow
186,Du rififi chez les hommes,1955,,"Four men plan a technically perfect crime, but the human element intervenes...",Jules Dassin,Jean Servais
187,Dial M for Murder,1954,A,A former tennis player tries to arrange his wife's murder after learning of her affair.,Alfred Hitchcock,Ray Milland
188,Tôkyô monogatari,1953,U,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,Chishû Ryû
189,Rashômon,1950,,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,Toshirô Mifune
190,All About Eve,1950,Passed,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,Bette Davis
191,The Treasure of the Sierra Madre,1948,Passed,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,Humphrey Bogart
192,To Be or Not to Be,1942,Passed,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,Carole Lombard
193,The Gold Rush,1925,Passed,A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,Charles Chaplin
194,Sherlock Jr.,1924,Passed,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,Buster Keaton
195,Portrait de la jeune fille en feu,2019,R,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,Noémie Merlant
196,Pink,2016,UA,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,Taapsee Pannu
197,Koe no katachi,2016,16,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada,Miyu Irino
198,Contratiempo,2016,TV-MA,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,Oriol Paulo,Mario Casas
199,Ah-ga-ssi,2016,A,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Chan-wook Park,Kim Min-hee
200,Mommy,2014,R,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Xavier Dolan,Anne Dorval
201,Haider,2014,UA,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Vishal Bhardwaj,Shahid Kapoor
202,Logan,2017,A,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,Hugh Jackman
203,Room,2015,R,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,Brie Larson
204,Relatos salvajes,2014,R,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,Darío Grandinetti
205,Soul,2020,U,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Pete Docter,Kemp Powers
206,Kis Uykusu,2014,,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Nuri Bilge Ceylan,Haluk Bilginer
207,PK,2014,UA,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Rajkumar Hirani,Aamir Khan
208,OMG: Oh My God!,2012,U,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Umesh Shukla,Paresh Rawal
209,The Grand Budapest Hotel,2014,UA,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,Ralph Fiennes
210,Gone Girl,2014,A,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,Ben Affleck
211,Ôkami kodomo no Ame to Yuki,2012,U,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Mamoru Hosoda,Aoi Miyazaki
212,Hacksaw Ridge,2016,A,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,Andrew Garfield
213,Inside Out,2015,U,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,Ronnie Del Carmen
