,Series_Title,Released_Year,Certificate,Overview,Director,Star1
131,Green Book,2018,UA,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,Viggo Mortensen
132,"Three Billboards Outside Ebbing, Missouri",2017,A,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,Frances McDormand
133,Talvar,2015,UA,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,Irrfan Khan
134,Baahubali 2: The Conclusion,2017,UA,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",S.S. Rajamouli,Prabhas
135,Klaus,2019,PG,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,Carlos Martínez López
136,Drishyam,2015,UA,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,Ajay Devgn
137,Queen,2013,UA,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Vikas Bahl,Kangana Ranaut
138,Mandariinid,2013,,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Zaza Urushadze,Lembit Ulfsak
139,Bhaag Milkha Bhaag,2013,U,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,Rakeysh Omprakash Mehra,Farhan Akhtar
140,Gangs of Wasseypur,2012,A,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,Manoj Bajpayee
141,Udaan,2010,UA,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,Rajat Barmecha
142,Paan Singh Tomar,2012,UA,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Tigmanshu Dhulia,Irrfan Khan
143,El secreto de sus ojos,2009,R,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,Ricardo Darín
144,Warrior,2011,UA,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,Tom Hardy
145,Shutter Island,2010,A,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese,Leonardo DiCaprio
146,Up,2009,U,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,Bob Peterson
147,The Wolf of Wall Street,2013,A,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,Leonardo DiCaprio
148,Chak De! India,2007,U,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Shimit Amin,Shah Rukh Khan
149,There Will Be Blood,2007,A,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,Daniel Day-Lewis
150,Pan's Labyrinth,2006,UA,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,Ivana Baquero
151,Toy Story 3,2010,U,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,Tom Hanks
152,V for Vendetta,2005,A,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",James McTeigue,Hugo Weaving
153,Rang De Basanti,2006,UA,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,Aamir Khan
154,Black,2005,U,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",Sanjay Leela Bhansali,Amitabh Bachchan
155,Batman Begins,2005,UA,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,Christian Bale
156,"Swades: We, the People",2004,U,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,Shah Rukh Khan
157,Der Untergang,2004,R,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,Bruno Ganz
